26	PC
104	PC
56	PC
15	PC
81	PC
36	PC
98	PC
103	PC
48	PC
23	PC
88	PC
29	PC
63	PC
27	PC
64	PC
110	PC
49	PC
108	PC
67	PC
58	PC
28	PC
62	PC
25	PC
75	PC
37	PC
100	PC
24	PC
50	PC
66	PC
125	PC
106	PC
16	PC*
118	PC*
2	PC*
17	PC*
45	PC*
44	PC*
95	PC*
30	PC*
78	PC*
11	PC*
33	PC*
94	PC*
57	PC*
43	PC*
99	PC*
107	PC*
79	PC*
55	PC*
31	PC*
71	PC*
54	PC*
51	PC*
113	PC*
40	PC*
70	PC*
105	PC*
12	PC*
69	PC*
4	PC*
3	PC*
111	PC*
119	PC*
80	PC*
90	PC*
93	PC*
87	PC*
68	PC*
1	PC*
32	PC*
101	PC*
82	PC*
83	PC*
109	PC*
59	PC*
77	PC*
122	PSI*
7	PSI*
74	PSI*
9	PSI*
19	PSI*
39	PSI*
61	PSI*
14	PSI*
117	PSI*
20	PSI*
53	PSI*
6	PSI*
18	PSI*
52	PSI*
47	PSI*
35	PSI*
21	PSI*
84	PSI*
41	PSI*
10	PSI*
13	PSI*
86	PSI*
89	PSI*
114	PSI*
5	PSI*
102	PSI*
42	PSI*
38	PSI*
115	PSI*
96	PSI*
85	PSI*
22	PSI*
65	PSI*
8	PSI*
72	PSI*
46	PSI*
73	PSI*
116	PSI*
34	PSI*
91	PSI*
60	PSI*
97	PSI*
112	teacher
120	teacher
121	teacher
123	teacher
92	teacher
76	teacher
124	teacher
126	teacher
